Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
2	127617155	100.0	97.78	2.22	38540	87.81	80.57	31.73	587720148	520883149	157307	170621_NB501012_0153_AHJC5MBGX2	nextseq_umc01
3	132375755	100.0	98.05	1.95	39977	88.72	81.81	32.02	587720148	520883149	157307	170621_NB501012_0153_AHJC5MBGX2	nextseq_umc01
4	131210907	100.0	98.0	2.0	39626	89.26	82.08	32.07	587720148	520883149	157307	170621_NB501012_0153_AHJC5MBGX2	nextseq_umc01
1	130714191	100.0	98.5	1.5	39476	92.0	83.23	32.43	571780642	525152555	158596	170623_NB501012_0154_AHVWL5BGX2	nextseq_umc01
2	131050624	100.0	98.47	1.53	39577	91.84	83.56	32.49	571780642	525152555	158596	170623_NB501012_0154_AHVWL5BGX2	nextseq_umc01
3	132028994	100.0	98.39	1.61	39873	91.7	82.88	32.35	571780642	525152555	158596	170623_NB501012_0154_AHVWL5BGX2	nextseq_umc01
4	131358746	100.0	98.39	1.61	39670	91.84	82.98	32.37	571780642	525152555	158596	170623_NB501012_0154_AHVWL5BGX2	nextseq_umc01
1	139817562	100.0	98.49	1.51	42225	91.66	82.11	32.2	608629327	559187328	168875	170626_NB501012_0155_AHVWTVBGX2	nextseq_umc01
2	139953041	100.0	98.49	1.51	42266	92.02	82.64	32.3	608629327	559187328	168875	170626_NB501012_0155_AHVWTVBGX2	nextseq_umc01
3	140242784	100.0	98.46	1.54	42353	91.71	83.12	32.39	608629327	559187328	168875	170626_NB501012_0155_AHVWTVBGX2	nextseq_umc01
4	139173941	100.0	98.48	1.52	42031	92.12	83.44	32.46	608629327	559187328	168875	170626_NB501012_0155_AHVWTVBGX2	nextseq_umc01
1	141842719	100.0	98.76	1.24	42837	91.28	82.97	32.33	626749540	571839609	172696	170628_NB501012_0156_AHVVWNBGX2	nextseq_umc01
